Jahr,Insgesamt,Alter in Prozent,Alter in Prozent,Alter in Prozent,Alter in Prozent,Alter in Prozent
Jahr,Insgesamt,unter 20,20 bis 40 ,40 bis 60 ,60 bis 80 ,80 und mehr
2015,82175684,"18,3","24,5","29,8","21,6","5,8"
2014,81197537,"18,2","24,1","30,3","21,8","5,6"
2013,80767463,"18,2",24,"30,7","21,8","5,4"
2012,80523746,"18,3","23,9","30,9","21,6","5,4"
2011,80327900,"18,4","23,8","31,1","21,4","5,3"
2010,81751602,"18,4","24,2","31,1",21,"5,3"
2009,81802257,"18,8","24,3",31,"20,8","5,1"
2008,82002356,19,"24,6","30,8","20,6",5
2007,82217837,"19,4",25,"30,3","20,5","4,8"
2006,82314906,"19,7","25,5","29,8","20,4","4,6"
2005,82437995,20,26,"29,1","20,5","4,5"
2004,82500849,"20,3","26,5","28,3","20,6","4,3"
2003,82531671,"20,5","27,1","27,8","20,5","4,2"
2002,82536680,"20,7","27,7","27,3","20,3","4,1"
2001,82440309,"20,9","28,1","26,8","20,2","3,9"
2000,82259540,"21,1","28,6","26,7","19,8","3,8"
1999,82163475,"21,3",29,"26,7","19,4","3,6"
1998,82037011,"21,4","29,5","26,7","18,8","3,5"
1997,82057379,"21,5","29,9","26,7","18,2","3,7"
1996,82012162,"21,6","30,4","26,7","17,5","3,9"
1995,81817499,"21,5","30,7","26,7",17,4
1994,81538603,"21,5","31,1","26,7","16,6","4,1"
1993,81338093,"21,5","31,4","26,7","16,4",4
1992,80974632,"21,5","31,6","26,5","16,4","3,9"
1991,80274564,"21,5","31,7","26,4","16,6","3,8"
1990,79753227,"21,7","31,6","26,3","16,6","3,8"
1989,79112831,"21,8","31,6","26,3","16,6","3,7"
1988,78389735,"22,1","31,3","26,3","16,7","3,6"
1987,77899502,"22,4","30,9","26,4","16,7","3,5"
1986,77780338,23,"30,7","26,2","16,7","3,4"
1985,77660533,"23,6",30,"26,4","16,7","3,3"
1984,77709213,"24,2","29,2","26,7","16,7","3,2"
1983,78008156,25,"28,8","26,5","16,7",3
1982,78248407,"25,6","28,4","26,3","16,7","2,9"
1981,78418324,"26,2",28,"26,2","16,7","2,8"
1980,78397483,"26,8",28,"25,9","16,7","2,7"
1979,61439342,"26,9",28,"25,9","16,7","2,5"
1978,61321663,"27,4","28,1","25,3","16,8","2,4"
1977,61352745,"27,8","28,2","24,4","17,2","2,3"
1976,61441996,"28,3","28,2","23,6","17,6","2,2"
1975,61644624,"28,7","28,4","22,9","17,9","2,1"
1974,61991475,"28,9","28,6","22,4",18,"2,1"
1973,62101369,"29,2","28,8","22,2","17,8",2
1972,61809378,"29,4","28,4","22,5","17,7",2
1971,61502503,"29,6","28,2","22,7","17,5","1,9"
1970,61001164,"29,7",28,23,"17,5","1,9"
1969,61194591,"29,8","28,2",23,"17,2","1,8"
1968,60463033,"29,9","27,9","23,3","17,1","1,8"
1967,59948474,"29,7",28,"23,6","16,9","1,8"
1966,59792934,"29,4","28,4","23,8","16,6","1,7"
1965,59296591,29,"28,7","24,2","16,4","1,7"
1964,58587451,"28,5","29,1","24,5","16,2","1,7"
1963,57864509,"28,4","29,1",25,"15,9","1,6"
1962,57247246,"28,2","29,2","25,3","15,7","1,6"
